,Usia (Tes),Usia (Prediksi)
0,1.952,1.895602
1,1.162,1.1623821
2,0.251,0.24306726
3,0.506,0.4980011
4,9.371,10.918728
5,2.898,2.7416954
6,2.455,2.4908352
7,3.655,3.500489
8,1.083,1.0758085
9,1.35,1.3831284
10,2.899,7.4609356
11,0.888,0.8727231
12,0.428,0.44760275
13,9.077,10.73612
14,3.52,3.4881287
15,0.213,0.21995878
16,0.239,0.24286747
17,1.172,1.1606812
18,0.461,0.49295378
19,0.31,0.2857008
20,13.326,12.619411
21,1.399,1.4049516
22,1.211,1.236321
23,0.407,0.43250608
24,13.46,11.711988
25,9.875,9.765302
26,12.128,12.457714
27,0.28,0.2851572
28,5.834,6.0063477
29,1.56,1.5639534
30,1.05,1.062644
31,12.987,12.720728
32,0.885,0.8624122
33,11.739,10.837628
34,1.324,1.3254023
35,2.8710000000000004,2.863995
36,0.2289999999999999,0.19900846
37,8.676,8.666058
38,6.273,6.28256
39,0.264,0.25794888
40,12.435,11.883337
41,3.032,2.9512787
42,2.377,2.401658
43,1.297,1.3355093
44,1.951,1.8003664
45,0.564,0.546767
46,1.187,1.1633246
47,1.151,1.1570148
48,4.468,4.4631343
49,8.713,8.739102
50,9.025,9.010508
51,3.422,3.3693573
52,5.254,5.4332576
53,0.212,0.2803812
54,0.319,0.44388247
55,13.465,12.559351
56,11.47,11.46825
57,13.154000000000002,11.717993
58,0.846,0.8240676
59,1.103,1.1093061
60,11.956,10.873679
61,0.722,0.74018526
62,0.29,0.30539036
63,0.397,0.3775835
64,0.8859999999999999,0.8646474
65,0.355,0.38825274
66,0.238,0.25955677
67,5.468999999999999,5.582357
68,5.593999999999999,5.2405596
69,6.345,6.4365473
70,0.2689999999999999,0.27299452
71,8.696,8.6033
72,8.448,8.334024
73,0.655,0.660738
74,4.29,4.203039
75,13.178,12.930082
76,0.276,0.30073404
77,0.573,0.59530234
78,12.577,10.177448
79,0.428,0.44973516
80,0.386,0.36758137
81,0.505,0.5450151
82,5.632000000000001,6.9149637
83,1.5659999999999998,1.5563533
84,5.545,5.5126724
85,0.324,0.3451891
86,9.986,9.821331
87,1.067,1.0634363
88,2.654,2.6500702
89,5.464,5.514439
90,1.824,1.8236914
91,0.642,0.64513373
92,0.51,0.48987317
93,0.3779999999999999,0.41555548
94,0.497,1.1375587
95,0.588,0.45669746
96,9.992,9.888174
97,11.785,11.563408
98,1.368,1.382983
99,11.832,11.208302
100,0.746,0.7176907
101,1.215,1.2070377
102,9.067,9.127917
103,10.457,10.505745
104,0.264,0.23932934
105,0.8690000000000001,0.7824087
106,1.867,1.8884821
107,11.972,10.983755
108,1.27,1.2400057
109,9.714,9.540591
110,0.207,0.15532875
111,0.83,0.78774977
112,11.97,11.303261
113,0.281,0.27928066
114,1.6740000000000002,1.6147552
115,0.291,0.28469992
116,8.625,8.492655
117,0.526,0.51834536
118,1.15,1.1264048
119,3.264,3.0264773
120,11.3,11.261735
121,1.375,1.2836351
122,0.241,0.25967503
123,0.7340000000000001,0.73841286
124,10.027,9.518687
125,2.373,4.1555586
126,0.223,0.22066355
127,8.423,8.369057
128,0.327,0.35674238
129,0.745,0.76474285
130,0.825,0.82654
131,0.736,0.74681854
132,8.646,8.601217
133,0.635,0.64518476
134,11.111,9.814364
135,0.35,0.22898579
136,0.29,0.32743216
137,5.2620000000000005,5.2453732
138,1.021,0.9851911
139,0.359,0.39527035
140,13.4,12.169277
141,0.347,0.3227868
142,0.973,0.9607506
143,1.007,1.0140462
144,3.158,3.1037498
145,0.2789999999999999,0.26294136
146,0.268,0.2848096
147,1.169,1.1361277
148,0.563,0.5855601
149,0.8370000000000001,0.8196082
150,0.2289999999999999,0.23035192
151,1.0759999999999998,1.0844965
152,2.654,2.5277576
153,6.861000000000001,6.9470882
154,0.996,0.917166
155,4.581,4.9115973
156,5.794,5.846327
157,6.0760000000000005,5.9505553
158,1.319,1.3246164
159,0.286,0.25903416
160,0.461,0.46130633
161,0.233,0.23069477
162,5.872000000000001,5.6684647
163,10.318,10.258867
164,5.0760000000000005,5.3492613
165,2.037,2.0111876
166,4.976,5.035297
167,1.015,1.0312896
168,3.435,3.4082124
169,0.5,0.5388088
170,0.703,0.7252965
171,0.283,0.25213623
172,5.414,5.410929
173,0.596,0.6221969
174,0.503,0.49688864
175,1.795,1.7810056
176,1.714,1.7155988
177,0.292,0.25354004
178,4.699,4.56879
179,0.409,0.43315792
180,8.309,8.29348
