,Usia (Tes),Usia (Prediksi)
0,6.837000000000001,7.0385156
1,2.298,2.2672153
2,0.738,0.73952436
3,7.51,7.1853714
4,0.503,0.4921298
5,0.557,0.5349579
6,6.55,6.278908
7,8.454,8.516221
8,0.413,0.41593647
9,2.384,2.333684
10,1.358,1.3310246
11,7.348,7.419327
12,13.275,12.9358635
13,3.677,3.6892705
14,0.203,0.21304989
15,0.556,0.5464883
16,0.27,0.28438044
17,0.415,0.42266655
18,1.341,1.3235097
19,10.952,11.645447
20,0.455,0.45273829
21,1.658,1.6362405
22,3.672,3.6054986
23,0.657,0.6563711
24,0.5539999999999999,0.5355506
25,0.556,0.5383959
26,2.765,2.7670274
27,4.546,4.3654184
28,6.39,6.273352
29,0.5589999999999999,0.54910755
30,6.305,6.038926
31,0.5589999999999999,0.55578566
32,0.233,0.24575043
33,0.74,0.7543602
34,12.04,11.139051
35,7.78,7.611256
36,1.34,1.3254786
37,0.621,0.6195369
38,10.285,11.200363
39,0.377,0.3751831
40,0.503,0.49724197
41,3.742,3.7044501
42,6.999,6.622757
43,0.74,0.7418704
44,0.293,0.29953575
45,9.628,9.51142
46,2.209,2.1814818
47,10.777,9.923326
48,10.707,9.896755
49,1.258,1.2439933
50,12.22,12.260226
51,5.726,5.603719
52,4.017,4.131666
53,0.5589999999999999,0.56335497
54,0.503,0.5049267
55,0.6970000000000001,0.71342087
56,1.342,1.3251419
57,0.622,0.6184902
58,12.118,11.718422
59,1.519,1.4892688
60,0.251,0.26516628
61,1.087,1.0834517
62,13.457,12.762554
63,12.356,12.724283
64,1.246,1.2350235
65,0.455,0.45579243
66,10.784,11.582249
67,11.848,10.950096
68,0.5579999999999999,0.5652361
69,1.6569999999999998,1.65243
70,10.71,10.809006
71,1.36,1.3355546
72,0.271,0.28129005
73,0.556,0.54532766
74,0.6579999999999999,0.57714796
75,1.344,1.3261952
76,10.788,10.407368
77,4.28,4.295517
78,3.952,3.904935
79,0.377,0.37892056
80,4.501,4.417695
81,7.144,7.501331
82,7.919,8.867342
83,3.388,3.3816419
84,0.346,0.35831356
85,0.416,0.42596102
86,10.763,10.495626
87,10.27,10.3842945
88,0.251,0.2676072
89,0.217,0.2280879
90,12.857,10.609587
91,2.051,2.051619
92,0.619,0.6202817
93,10.292,10.032607
94,1.34,1.3205333
95,5.047,4.942917
96,0.27,0.28558874
97,13.277,11.482985
98,0.292,0.30364847
99,9.911,9.749124
100,13.418,12.728519
101,5.961,5.7837043
102,0.2019999999999999,0.20992613
103,0.2319999999999999,0.24812269
104,8.363999999999999,8.023668
105,0.785,0.78097725
106,12.197,11.584423
107,0.455,0.47608614
108,9.537,9.554945
109,1.354,1.3378978
110,6.884,6.5960827
111,0.455,0.45355415
112,1.342,1.3277841
113,12.890999999999998,12.964529
114,12.804,12.3035755
115,0.95,0.9361057
116,10.029,9.645726
117,0.7829999999999999,0.7909398
118,0.502,0.49366808
119,1.345,1.3178682
120,11.873,10.129308
121,1.3530000000000002,1.3373885
122,9.324,8.924257
123,0.621,0.61990976
124,10.022,11.545336
125,10.559,11.10914
126,6.31,6.406966
127,5.031000000000001,4.944269
128,0.293,0.29867315
129,7.791,7.9357376
130,11.366,10.411417
131,3.037,2.9479349
132,1.346,1.2972035
133,0.2339999999999999,0.25081015
134,6.745,7.084694
135,0.27,0.28285408
136,1.461,1.4129052
137,0.377,0.3772688
138,9.031,10.177271
139,8.836,8.465737
140,1.357,1.3341613
141,0.5539999999999999,0.528656
142,0.413,0.4127946
143,9.106,8.750743
144,1.009,1.0317965
145,0.217,0.23048544
146,12.130999999999998,11.278368
147,0.62,0.6213217
148,7.768,7.4493523
149,3.407,3.535692
150,0.317,0.32226944
151,1.663,1.6243978
152,0.622,0.6193948
153,1.341,1.3257866
154,0.318,0.31418037
155,1.342,1.3278937
156,0.555,0.5530391
157,0.2319999999999999,0.2527027
158,2.137,2.1080503
159,0.502,0.4940915
160,0.618,0.5429454
161,0.8340000000000001,0.81789446
162,0.251,0.26509285
163,9.312,8.769081
164,3.023,2.9961746
165,9.083,8.696128
166,0.455,0.45309305
167,6.772,6.295107
168,13.237,12.193447
169,0.414,0.41626167
170,1.342,1.3240185
171,0.95,0.9517641
172,6.332999999999999,6.1503863
