,Usia (Tes),Usia (Prediksi)
0,1.952,2.0160806351713068
1,1.162,1.1652229526387665
2,0.251,0.2537999837923698
3,0.506,0.5194492749618468
4,9.371,10.268759348233644
5,2.898,2.5310213536917736
6,2.455,2.571964359230484
7,3.655,3.282529339150286
8,1.083,1.096144543066376
9,1.35,1.3762504133222464
10,2.899,5.933748537246237
11,0.888,0.8890694058547062
12,0.428,0.43257270426369815
13,9.077,11.105360194927435
14,3.52,3.451129342077171
15,0.213,0.20722219959469473
16,0.239,0.24135909535266584
17,1.172,1.161185570624498
18,0.461,0.44706710828553614
19,0.31,0.300454480470976
20,13.326,12.903124870376647
21,1.399,1.3896936450990929
22,1.211,1.2072696877377398
23,0.407,0.4167081411755277
24,13.46,11.813633119696078
25,9.875,9.988968506382024
26,12.128,12.662968304940259
27,0.28,0.26078648346844246
28,5.834,5.690994677021506
29,1.56,1.5223922362011026
30,1.05,1.0240780882064906
31,12.987,12.87740904211018
32,0.885,0.8861511530058299
33,11.739,10.615516090422057
34,1.324,1.3343360933365203
35,2.8710000000000004,2.884098265975578
36,0.2289999999999999,0.22824145628102968
37,8.676,8.630928521568887
38,6.273,6.141628638749807
39,0.264,0.2528675517748854
40,12.435,12.563581916833042
41,3.032,2.98534713938667
42,2.377,2.4277850188061505
43,1.297,1.3211284422826803
44,1.951,1.9276612927426362
45,0.564,0.5649147006354215
46,1.187,1.217382382664978
47,1.151,1.1790899870611966
48,4.468,4.5277894896980655
49,8.713,8.95972178996607
50,9.025,8.9415593321015
51,3.422,3.4700654439010266
52,5.254,5.2363317546694095
53,0.212,0.22862238917135852
54,0.319,0.35723211718641035
55,13.465,13.011032656915605
56,11.47,11.410733476961484
57,13.154000000000002,12.516795206710183
58,0.846,0.8365854969686105
59,1.103,1.0978821703550863
60,11.956,11.714252808599582
61,0.722,0.7308411259791584
62,0.29,0.2858212653767759
63,0.397,0.41181708846682985
64,0.8859999999999999,0.890276811282728
65,0.355,0.3582239893714364
66,0.238,0.2411531538545237
67,5.468999999999999,5.892747354331068
68,5.593999999999999,5.969110756186401
69,6.345,6.35274021297145
70,0.2689999999999999,0.2625378455146815
71,8.696,8.7129616293245
72,8.448,8.17883122762484
73,0.655,0.6530455659586399
74,4.29,4.238020733879532
75,13.178,13.264420127344428
76,0.276,0.2843765008729729
77,0.573,0.5735696292941418
78,12.577,11.407458478402695
79,0.428,0.4326803679665219
80,0.386,0.4724862633027611
81,0.505,0.5084269596578463
82,5.632000000000001,7.291512142038965
83,1.5659999999999998,1.530294610619477
