,Usia (Tes),Usia (Prediksi)
0,1.952,2.0032036
1,1.162,1.1664451
2,0.251,0.25407943
3,0.506,0.5095358
4,9.371,10.015074
5,2.898,2.6124027
6,2.455,2.5205562
7,3.655,3.3254979
8,1.083,1.0909863
9,1.35,1.3724964
10,2.899,7.210461
11,0.888,0.8892946
12,0.428,0.42696238
13,9.077,10.842219
14,3.52,3.443176
15,0.213,0.23964886
16,0.239,0.2436077
17,1.172,1.1658374
18,0.461,0.42996034
19,0.31,0.30241495
20,13.326,12.959414
21,1.399,1.3930031
22,1.211,1.2040627
23,0.407,0.4012191
24,13.46,11.2804985
25,9.875,9.844402
26,12.128,12.74133
27,0.28,0.26791605
28,5.834,5.7442994
29,1.56,1.5439699
30,1.05,1.0436778
31,12.987,12.685918
32,0.885,0.88303035
33,11.739,11.68996
34,1.324,1.3060286
35,2.8710000000000004,2.8480818
36,0.2289999999999999,0.22701682
37,8.676,8.565106
38,6.273,6.2798467
39,0.264,0.2635163
40,12.435,12.154412
41,3.032,3.0098867
42,2.377,2.3808532
43,1.297,1.3142523
44,1.951,1.9300917
45,0.564,0.555303
46,1.187,1.1624146
47,1.151,1.1663024
48,4.468,4.5404263
49,8.713,8.6456785
50,9.025,8.930615
51,3.422,3.4662054
52,5.254,5.00099
53,0.212,0.2208736
54,0.319,0.41587675
55,13.465,13.009743
56,11.47,11.306087
57,13.154000000000002,12.164643
58,0.846,0.82899225
59,1.103,1.0960435
60,11.956,12.205962
61,0.722,0.7034021
62,0.29,0.28728166
63,0.397,0.39856565
64,0.8859999999999999,0.85856134
65,0.355,0.36285374
66,0.238,0.23704804
67,5.468999999999999,5.6651225
68,5.593999999999999,5.263131
69,6.345,6.3536477
70,0.2689999999999999,0.26641384
71,8.696,8.844021
72,8.448,8.195412
73,0.655,0.68154633
74,4.29,4.252873
75,13.178,13.120987
76,0.276,0.27941188
77,0.573,0.56446224
78,12.577,10.892916
79,0.428,0.4200501
80,0.386,0.51582795
81,0.505,0.4958604
82,5.632000000000001,7.210461
83,1.5659999999999998,1.5385399
84,5.545,5.511778
85,0.324,0.32948932
86,9.986,9.481244
87,1.067,1.0671275
88,2.654,2.5295026
89,5.464,5.501725
90,1.824,1.8291137
91,0.642,0.63730586
92,0.51,0.48278505
93,0.3779999999999999,0.37421227
94,0.497,-0.13091098
95,0.588,0.52238417
96,9.992,9.990033
97,11.785,11.652616
98,1.368,1.3585435
99,11.832,11.291636
100,0.746,0.72771037
101,1.215,1.2359066
102,9.067,9.063623
103,10.457,10.362303
104,0.264,0.21165635
105,0.8690000000000001,0.7719453
106,1.867,1.8586247
107,11.972,12.389063
108,1.27,1.2659514
109,9.714,9.699015
110,0.207,0.21226406
111,0.83,0.78993464
112,11.97,11.105517
113,0.281,0.2784041
114,1.6740000000000002,1.667027
115,0.291,0.2837616
116,8.625,8.370925
117,0.526,0.52796584
118,1.15,1.2054152
119,3.264,4.0189137
120,11.3,11.650631
121,1.375,1.1892608
122,0.241,0.24250634
123,0.7340000000000001,0.739689
124,10.027,10.931848
125,2.373,2.856442
126,0.223,0.23452792
127,8.423,8.407604
128,0.327,0.3263422
129,0.745,0.75704956
130,0.825,0.7535764
131,0.736,0.76635206
132,8.646,8.72151
133,0.635,0.6348345
134,11.111,9.952922
135,0.35,0.3716287
136,0.29,0.28678676
137,5.2620000000000005,4.9700146
138,1.021,1.0150135
139,0.359,0.35733956
140,13.4,12.25033
141,0.347,0.32999757
142,0.973,0.9691886
143,1.007,1.0078154
144,3.158,3.192742
145,0.2789999999999999,0.2767957
146,0.268,0.25952703
147,1.169,1.1627367
148,0.563,0.5476491
149,0.8370000000000001,0.8339541
150,0.2289999999999999,0.23622121
151,1.0759999999999998,1.0659845
152,2.654,2.3338394
153,6.861000000000001,6.899977
154,0.996,0.97931397
155,4.581,4.584754
156,5.794,6.030321
157,6.0760000000000005,6.006944
158,1.319,1.3183264
159,0.286,0.27569652
160,0.461,0.48152593
161,0.233,0.23628156
162,5.872000000000001,6.4749403
163,10.318,10.893522
164,5.0760000000000005,5.028731
165,2.037,2.0465233
166,4.976,4.4088435
167,1.015,1.0276105
168,3.435,3.421475
169,0.5,0.48290482
170,0.703,0.7201151
171,0.283,0.49300155
172,5.414,5.4495606
173,0.596,0.589598
174,0.503,0.49958342
175,1.795,1.7464335
176,1.714,1.7059172
177,0.292,0.26723802
178,4.699,4.387292
179,0.409,0.40459374
180,8.309,8.562796
181,2.0380000000000003,2.0000393
182,9.865,9.904857
183,0.258,0.26603088
184,1.223,1.2127631
185,0.474,0.46731144
186,0.774,0.74364686
187,10.576,11.293854
188,0.5529999999999999,0.37090042
189,1.0490000000000002,1.0395535
190,0.865,0.870428
191,10.168,10.4775305
192,12.300999999999998,12.266647
193,1.779,1.395281
194,1.267,1.2206887
195,4.737,4.8078914
196,13.302,12.908015
197,9.221,9.450407
198,0.2739999999999999,0.33421645
199,0.88,0.91059285
200,3.401,3.3774304
201,1.362,1.3831532
202,7.041,6.99198
203,7.584,6.617252
204,5.27,5.244407
205,1.906,1.8493239
206,10.599,10.584531
207,1.243,1.2478805
208,11.074000000000002,11.989583
209,11.763,11.089012
210,0.233,0.08400412
211,0.4,0.397765
212,0.504,0.50626177
213,1.077,1.0698813
214,10.394,10.291821
215,13.339,13.215711
216,0.521,0.53290665
217,0.4679999999999999,0.4459906
218,9.802,10.236142
219,2.874,2.7732255
220,7.147,7.018818
221,4.356,4.362107
222,0.341,0.34799635
223,0.6759999999999999,0.88590735
224,1.536,1.4833568
225,11.962,12.061067
226,12.941,12.120414
227,1.221,1.220484
228,0.6,0.62048525
229,9.235,9.350452
230,2.853,2.8618698
231,0.54,0.5425476
232,1.058,1.0486602
233,0.564,0.553393
234,9.228,11.146631
235,11.094,10.657891
236,8.585,10.033911
237,10.136,10.134797
238,0.446,0.44480175
239,1.409,1.395718
240,3.682,3.5624197
241,0.319,0.3108891
242,11.321,9.282103
243,0.248,0.24955012
244,0.8959999999999999,0.88351154
245,0.956,1.0048546
246,0.7120000000000001,0.72633183
247,6.617999999999999,6.1102014
248,5.979,6.172203
249,1.58,0.65039116
250,0.855,0.86121964
251,5.497999999999999,5.490607
252,2.643,2.5676181
253,11.435,11.638914
254,1.28,1.2585479
255,0.249,0.52754533
256,0.938,0.9353572
257,0.32,0.325535
258,2.053,2.0279653
259,4.571000000000001,5.1282153
260,0.306,0.2946894
261,4.997,5.980846
262,8.833,10.088572
263,0.843,0.8453171
264,8.162,8.141714
265,1.181,1.0633426
266,0.474,0.458725
267,3.2880000000000003,3.405157
268,1.286,1.2611454
269,0.263,0.4497152
270,5.029,5.0104175
271,3.394,3.4534802
272,12.468,12.404693
273,5.223,5.205915
274,9.495,10.364928
275,0.497,0.5765545
276,5.007,5.0208416
277,1.072,1.06642
278,0.607,0.597873
279,0.419,0.42413032
280,0.3379999999999999,0.33128166
281,1.259,1.2427226
282,6.763,6.768945
283,4.575,4.609392
