,Usia (Tes),Usia (Prediksi)
0,6.837000000000001,7.086119
1,2.298,2.298361
2,0.738,0.740534
3,7.51,7.141755
4,0.503,0.5039664
5,0.557,0.55676556
6,6.55,6.363772
7,8.454,8.626665
8,0.413,0.41453052
9,2.384,2.3678842
10,1.358,1.3590642
11,7.348,7.4423223
12,13.275,12.8202305
13,3.677,3.6962378
14,0.203,0.20507616
15,0.556,0.5596978
16,0.27,0.27249512
17,0.415,0.42960352
18,1.341,1.3440151
19,10.952,12.040167
20,0.455,0.45591083
21,1.658,1.6587846
22,3.672,3.5628815
23,0.657,0.65732527
24,0.5539999999999999,0.55701464
25,0.556,0.5571073
26,2.765,2.7965689
27,4.546,4.4577613
28,6.39,6.3860674
29,0.5589999999999999,0.55872244
30,6.305,6.194853
31,0.5589999999999999,0.55982906
32,0.233,0.23395325
33,0.74,0.74557716
34,12.04,11.545358
35,7.78,7.7447686
36,1.34,1.3440151
37,0.621,0.6220473
38,10.285,11.658169
39,0.377,0.37609756
40,0.503,0.5042742
41,3.742,3.71325
42,6.999,6.779388
43,0.74,0.7598366
44,0.293,0.29385003
45,9.628,9.417886
46,2.209,2.2355998
47,10.777,10.129222
48,10.707,10.037828
49,1.258,1.2595469
50,12.22,12.294922
51,5.726,5.6507316
52,4.017,4.124914
53,0.5589999999999999,0.55788237
54,0.503,0.5042736
55,0.6970000000000001,0.6970863
56,1.342,1.3440151
57,0.622,0.6209013
58,12.118,11.753004
59,1.519,1.4835478
60,0.251,0.25268513
61,1.087,1.0761863
62,13.457,11.545358
63,12.356,12.797588
64,1.246,1.239289
65,0.455,0.45633632
66,10.784,11.838874
67,11.848,11.383074
68,0.5579999999999999,0.55720234
69,1.6569999999999998,1.6501509
70,10.71,11.228678
71,1.36,1.3592273
72,0.271,0.27191973
73,0.556,0.5572356
74,0.6579999999999999,0.6569697
75,1.344,1.3438537
76,10.788,10.391048
77,4.28,4.3416214
78,3.952,3.887916
79,0.377,0.37830102
80,4.501,4.5447025
81,7.144,7.5849495
82,7.919,8.92654
83,3.388,3.3812191
84,0.346,0.35952216
85,0.416,0.416913
86,10.763,10.636007
87,10.27,10.391048
88,0.251,0.25213113
89,0.217,0.22223477
90,12.857,11.383074
91,2.051,2.0732882
92,0.619,0.62073076
93,10.292,10.227103
94,1.34,1.3440151
95,5.047,5.0372863
96,0.27,0.26790488
97,13.277,11.649561
98,0.292,0.29624653
99,9.911,9.6697235
100,13.418,12.961144
101,5.961,5.832717
102,0.2019999999999999,0.2044976
103,0.2319999999999999,0.2344826
104,8.363999999999999,8.180489
105,0.785,0.78485054
106,12.197,11.80867
107,0.455,0.44540837
108,9.537,9.673445
109,1.354,1.338925
110,6.884,6.6374516
111,0.455,0.45614162
112,1.342,1.3440151
113,12.890999999999998,12.927412
114,12.804,12.594112
115,0.95,0.98589116
116,10.029,9.862544
117,0.7829999999999999,0.7994989
118,0.502,0.5033814
119,1.345,1.3432455
120,11.873,10.28308
121,1.3530000000000002,1.3276118
122,9.324,9.043889
123,0.621,0.62158453
124,10.022,11.693332
125,10.559,11.545358
126,6.31,6.448477
127,5.031000000000001,5.0124617
128,0.293,0.29380047
129,7.791,7.9534664
130,11.366,10.815097
131,3.037,2.9294777
132,1.346,1.3429637
133,0.2339999999999999,0.23526919
134,6.745,7.1826606
135,0.27,0.26709098
136,1.461,1.4818399
137,0.377,0.37853676
138,9.031,10.28308
139,8.836,8.654112
140,1.357,1.3578507
141,0.5539999999999999,0.55372435
142,0.413,0.41233134
143,9.106,8.890975
144,1.009,1.014126
145,0.217,0.21857959
146,12.130999999999998,11.408655
147,0.62,0.62073076
148,7.768,7.4414053
149,3.407,3.4313657
150,0.317,0.32636446
151,1.663,1.644797
152,0.622,0.6213984
153,1.341,1.3440151
154,0.318,0.31705636
155,1.342,1.3440151
156,0.555,0.55829257
157,0.2319999999999999,0.23741022
158,2.137,2.1171787
159,0.502,0.5000927
160,0.618,0.6093106
161,0.8340000000000001,0.8284484
162,0.251,0.25131723
163,9.312,8.755146
164,3.023,2.97577
165,9.083,8.803098
166,0.455,0.45617276
167,6.772,6.5630283
168,13.237,12.649022
169,0.414,0.41453052
170,1.342,1.3440151
171,0.95,0.9675255
172,6.332999999999999,6.2488084
173,11.878,11.320529
174,12.29,11.976809
175,0.455,0.45621434
176,0.27,0.2720242
177,7.956,7.8587956
178,8.616,8.405878
